Yes On 793,158758,347513
Oklahoma Health Action,150000,299998
Oklahoma Call for Reproductive Justice,121000,651764
Kevin Stitt for Governor,116937,359819
Opinion Research,100932,508539
KWTV - NEWS 9,26000,85994
Oklahoma Council of Public Affairs,25000,109997
"Dems for Governor, an Unlimited PAC",15000,45992
Tim Gilpin for Congress 2018,12000,29996
Representative Kevin McDugle House District 12,11000,25996
The Foundation for Oklahoma City Public Schools,10000,49999
Oklahoma Oil and Gas Association,10000,49999
OKTreasure.com,10000,49999
Daniel Manuel for House District 25,10000,49999
Jason Nichols for Congress,10000,19998
Heather Coyle for District Judge 2018,10000,19998
National Republican Congressional Committee,7565,18171
Blake Shipley for Judge,7000,48979
We Want Jim,6000,19993
Chris Sloan for District Judge,6000,14998
Ranson House 34,5000,9999
Opportunity Scholarship Fund,5000,9999
Darrell Moore for House District 8,5000,9999
Carrie Blumert for County Commissioner,5000,9999
Keep Judge Hladik,4996,9990
Elizabeth Warren,4000,59956
Ken Reddick for Tulsa City Council District 7,4000,21994
Tannery For District Attorney,2000,12995
Dennis Dugger for State House,2000,10997
Ryan Pitts for Judge 2018,2000,9998
Paul B. Smith For District Attorney,2000,9998
John Yeutter for Oklahoma State Auditor and Inspector,2000,9998
Fobbs for OK Insurance Commissioner,2000,9998
Judicial Watch,1789,3577
United States Constitution,1246,2984
Donald J. Trump,1240,13028
The Nib,1058,2116
Oraynab Jwayyed for House District 82,1000,5998
Keep Judge Woodward,1000,5998
Tom Sawyer For Judge,1000,4999
Together Oklahoma,1000,4999
Representative Mickey Dollens,1000,4999
Oklahomans for Anthony,1000,4999
Oklahoma Attorneys Mutual Insurance Company,1000,4999
Natalie Mai for District Judge,1000,4999
Merleyn Bell for State House District 45,1000,4999
Jim Grego,1000,4999
"Dwight TannerWard 5 City Councilman, for Mayor",1000,4999
Carly for Oklahoma House District 67,1000,4999
Brad Boles,1000,4999
Amanda Jeffers for House District 91,1000,4999
Chris Moore for Mayor,999,4995
Mike Duffy For Judge,995,5974
Normals Are Pissed,958,2310
4ocean,665,1662
Heidi Heitkamp,499,1005
Concealed Online,431,1940
The Holy Tribune,353,707
Robin Lundstrum,337,767
Concealed Carry,266,1330
End Citizens United,246,1251
Andrew Gillum,227,1454
Tom Steyer,222,1105
Ammar Campa for Congress,217,435
The Nature Conservancy,199,399
Justice Jason Boatright,195,973
American AF,171,852
Federal Voting Assistance Program - FVAP,166,828
The Western Journal,156,781
Penguin Kids,153,768
Newseum,148,739
Your Trump Shop,148,738
Claire McCaskill,133,665
Blue Wave,127,918
Senate Majority PAC,121,605
Shield Republic,119,266
NARAL Pro-Choice America,112,561
Firearms Policy Coalition,93,467
Penzeys Spices,90,452
"Vericool, Inc.",90,180
ACLU,86,520
Gell.com,71,141
Turning Point USA,70,141
Mindvalley,66,330
Kamala Harris,64,3963
Dr. Kira Banks,62,124
Power In Cooperation,61,4580
Kirsten Gillibrand,56,279
Treasurer Bobby Hill,53,105
Finance Watchdogs,47,122
Oxfam,46,251
Denise Garner for Arkansas,45,227
E. O. Wilson Biodiversity Foundation,41,207
Swing Left,39,240
Voters - Not Politicians,39,79
FreedomWorks,33,167
Planned Parenthood Action,30,769
Democratic Senatorial Campaign Committee (DSCC),29,148
Doug LaMalfa for US Representative,28,142
Let Africa Live,27,133
Progress NC Votes,27,103
FloridaStrong,25,126
Trump 2020,24,118
Topix Rewind,23,114
Joe Gruters,23,114
Rainforest Action Network,23,46
The Ben Shapiro Show,22,108
USA for UNHCR,21,56
PrintedKicks,20,118
Sunjeev Bery,19,93
Anthony Bonna,18,36
America with Eric Bolling,17,87
Ocean Helper,16,95
Mack for Muhlenberg,16,78
Winning For Women,14,247
Giving Brush,14,68
America Rise Up,13,66
Jewish Voice Ministries International,12,62
PowerLabs,12,25
The Lone Liberal Republican,11,57
Kyle Mullica for House District 34,11,57
Exclusive Apparel,11,56
Kyrsten Sinema,10,51
Janet Garrett for Congress,8,42
Defenders of Wildlife,8,41
Mercy Corps,8,39
Greenpeace USA,8,38
James Thompson for Kansas,7,175
Representative Dylan Roberts,7,34
Shaun King,6,76
Andrew Yang for President 2020,6,32
Movement Voter Project,6,31
ACLU of Northern California,6,12
NRDC,5,1022
Speech Moves,5,26
Bill Nelson,4,20
Planned Parenthood,4,19
Jill Norgaard for AZ House,4,18
Mikie Sherrill,4,9
Allison Gilman For Judge,3,17
Left AF,3,16
Devon Conley,3,16
Nick Hyde for State Representative- 89th District,2,10
Maria Weekes For Judge,2,10
Chesapeake Bay Foundation,2,9
Mannion for State Senate,2,4
Human Rights Campaign,2,3
Energy Citizens,1,45
Science for Humans and Freedom Institute,1,41
Giffords,1,6
Chris Murphy,1,6
MedicareSupplement.com,0,4995
Fred Dorrell For OK Labor,0,3996
Todd Blackburn,0,2997
Brian Hill For the House 2018 HD47,0,2997
Linda Wade for Oklahoma SD 42,0,1998
Jacobi Crowley for Oklahoma,0,1998
Crutchfield for Judge,0,1998
Thomas Salisbury for District Judge,0,999
T.J. Marti for State House,0,999
Phil Bredesen,0,999
Oklahoma Second Amendment Association,0,999
Oklahoma Local News,0,999
Oklahoma FairTax,0,999
Meloyde Blancett,0,999
Marty Quinn,0,999
LaVelle Compton for Oklahoma District 90,0,999
James For OKC,0,999
Jackie Speier,0,999
Brett Butner for Associate District Judge,0,999
Bonebreak for House District 53,0,999
Support The 2nd Amendment,0,701
Tina Smith,0,500
Lessons from Military History,0,378
Great Financial Workshops,0,265
Rant Nation with Graham Allen,0,217
National Network of Abortion Funds,0,194
Democratic Party,0,182
Be Conscious. Be Kind.,0,125
Stand Up America,0,88
dittymoji,0,86
MoveOn,0,64
Christine Hallquist,0,62
Coverage of the Trump Presidency by The Epoch Times,0,56
Phone2Action,0,50
Heifer International,0,50
CARE,0,45
Jarratt Applewhite for District 50,0,42
Klean Kanteen,0,41
CRTV Tonight with Gavin McInnes,0,39
Oceana,0,33
Alan Maio,0,31
Keith Greene,0,29
Liftable Engagement Services,0,24
FTC PAC,0,24
Sharice for Congress,0,22
Eversmeyer and Guerrero For Township Committee,0,19
Dr. Amanda Kemp,0,17
Co-ops Vote,0,17
Zane Chenault for Washington County Treasurer,0,16
Pfizer,0,16
National Democratic Redistricting Committee,0,16
Military Officers Association of America (MOAA),0,16
Be A Hero,0,16
San Mateo County Republican Party,0,15
Texans for Natural Gas,0,13
Race and Grace,0,13
Patriot Depot,0,12
Armed American Supply,0,12
American Jewish World Service - AJWS,0,12
Define American,0,11
Patriot Powered Products,0,9
Practically Political,0,8
Lupe Valdez,0,8
Conservative Tribune,0,8
ZoÃ« Bands,0,7
NRDC Action Fund,0,7
Geoff Diehl,0,7
No Kid Hungry,0,6
Janet Mills,0,6
Disrupt Aging,0,6
Andy Kim for Congress,0,6
The Collective PAC,0,5
Conservation International,0,5
Steven Buccini for NC House,0,4
Independent Voter,0,4
Sierra Club,0,3
ClearPath Action Fund,0,3
Tony Evers,0,2
Democrats,0,2
Dana Young,0,2
Ken Buck,0,1
Jonathan Porter for Delegate,0,1
Cort VanOstran for Congress,0,1
Instagram,0,0
